Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Sigo,"ARON,Moonkey,MYGAL",Sigo,211235,True,52,5,0,4,0.129,0.722,0.596,0,0.113,-8.289,0.156,0.291,78.515,LEGIT
Malibú con Piña,Funzo & Baby Loud,Malibú con Piña,167999,False,62,11,0,4,0.359,0.642,0.705,0,0.16,-6.514,0.0409,0.681,96.411,LEGIT
Calavera no chilla,"Natos y Waor,Nic",Calavera no chilla,211428,False,50,3,0,4,0.326,0.668,0.736,9.88e-06,0.113,-4.883,0.043,0.366,84.033,LEGIT
Gamers,Lennis Rodriguez,Gamers,178834,False,47,10,0,4,0.465,0.934,0.604,0.00101,0.0985,-7.212,0.19,0.653,97.047,LEGIT
19,Skinny Puma,19,150181,False,37,3,1,4,0.566,0.721,0.584,0.00014,0.0833,-7.5,0.0942,0.574,110.029,LEGIT
Laberinto de Amor,"Pimp Flaco,Kinder Malo,WBMS",Laberinto de Amor,215779,False,49,5,0,4,0.333,0.8,0.584,0.00193,0.133,-9.716,0.0278,0.448,109.004,LEGIT
Por mi gente,"Magic Magno,DJ Nerso",Compilation,222981,False,35,1,1,4,0.0779,0.693,0.736,0,0.315,-6.311,0.0746,0.859,150.006,LEGIT
Nunca Estoy,C. Tangana,Nunca Estoy,162222,False,74,2,1,4,0.474,0.917,0.377,0.00367,0.298,-5.132,0.161,0.398,134.994,LEGIT
Volvernos a Ver,Rafa Espino,Volvernos a Ver,186482,False,32,11,1,4,0.871,0.654,0.457,0,0.108,-5.488,0.0437,0.596,94.069,LEGIT
DE TI ME OLVIDO,"Love Yi,Recycled J,Naes Beats",Fortuna,221922,False,58,6,1,4,0.206,0.704,0.63,0,0.235,-5.793,0.102,0.551,105.99,LEGIT
Buenos Genes,"Rels B,DELLAFUENTE",Flakk Daniel's Lp,245190,True,72,4,0,4,0.486,0.804,0.535,0,0.108,-8.603,0.143,0.628,151.957,LEGIT
Mejor No Nos Vemos,Rels B,Mejor No Nos Vemos,189187,False,69,9,1,4,0.208,0.554,0.652,0.000201,0.104,-4.874,0.425,0.346,184.012,LEGIT
SI NO TE VEO,Rels B,Happy Birthday Flakko,207640,True,64,4,0,4,0.373,0.789,0.515,8.58e-05,0.239,-5.522,0.245,0.603,88.996,LEGIT
Ya No Te Veo,"DELLAFUENTE,Novedades Carminha",Ya No Te Veo,206031,False,53,7,0,4,0.0404,0.718,0.645,3.07e-05,0.0672,-7.91,0.0404,0.467,107.002,LEGIT
A Escondidas,"$kyhook,Morad",Moonchies,217959,False,50,3,1,4,0.544,0.786,0.427,6.97e-05,0.132,-10.696,0.184,0.608,98.024,LEGIT
Tres Calos,"Matasvandals,Da Silva",Tres Calos,129845,True,55,3,0,4,0.501,0.787,0.765,0,0.369,-5.325,0.228,0.883,89.999,LEGIT
Reproches,Ayax y Prok,Reproches,273548,False,62,4,1,4,0.432,0.641,0.907,0,0.278,-6.938,0.356,0.382,92.881,LEGIT
13/18,DELLAFUENTE,13/18,213368,False,18,10,0,4,0.542,0.692,0.785,6.32e-05,0.22,-7.536,0.155,0.777,80.774,LEGIT
Tak Tiki Tak,Harry Nach,Tak Tiki Tak,212406,True,26,11,0,4,0.335,0.802,0.579,0.000311,0.173,-4.78,0.0869,0.234,99.992,LEGIT
Guille Asesino,C. Tangana,Guille Asesino,155266,False,57,7,1,4,0.109,0.408,0.78,0.00376,0.103,-7.273,0.123,0.403,194.983,LEGIT
Bien:( (feat. Rusowsky),"C. Tangana,Rusowsky",Bien:(,112440,False,45,10,1,4,0.692,0.611,0.202,0.000446,0.125,-12.898,0.0371,0.168,73.019,LEGIT
adelante_ruffdemo2016,C. Tangana,Bien:(,103893,False,38,5,0,4,0.154,0.438,0.586,0,0.179,-8.124,0.324,0.403,83.844,LEGIT
Química,"Juancho Marqués,Gabriel Fernández",Cierre,224666,False,54,9,1,4,0.167,0.401,0.498,0.00106,0.144,-14.751,0.118,0.318,89.63,LEGIT
Jóvenes no tan Locos,Funzo & Baby Loud,Jóvenes no tan Locos,178578,False,59,3,1,4,0.634,0.546,0.451,0,0.134,-8.083,0.0917,0.639,160.11,LEGIT
CANGURO,WOS,CARAVANA,196745,True,69,1,1,4,0.173,0.602,0.751,0,0.667,-4.358,0.327,0.934,163.874,LEGIT
Colocaos x Madrid,Xavibo,Colocaos x Madrid,167929,False,49,0,0,4,0.3,0.777,0.629,1.83e-05,0.111,-8.326,0.132,0.361,127.939,LEGIT
Ready Pa Morir,"Yung Beef,Steve Lean",A.D.R.O.M.I.C.F.M.S. 2,191346,True,56,6,0,4,0.382,0.679,0.485,0,0.099,-9.509,0.324,0.254,72.896,LEGIT
Merece la Pena,"Pole.,Only",Merece la Pena,194223,False,58,5,1,4,0.0592,0.592,0.822,0,0.114,-7.128,0.136,0.357,125.246,LEGIT
La Placita,"Delaossa,Easy-S,J.Moods",La Placita,228292,False,63,4,0,4,0.774,0.563,0.534,0,0.13,-8.055,0.342,0.659,81.737,LEGIT
