"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:2V65y3PX4DkRhy1djlxd9p","Don't You Worry Child - Radio Edit","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin","spotify:album:3RKhRsifs4RWrqvWV1YpPY","Don't You Worry Child","1","1","212862","spotify:user:tloboy","2019-12-24T20:12:35Z"
"spotify:track:2tftivjRsvKs0jFH9h3Ti8","Hangover","spotify:artist:6MF9fzBmfXghAz953czmBC, spotify:artist:0jnsk9HBra6NMjO2oANoPY","Taio Cruz, Flo Rida","spotify:album:5PoSYN1gqQVTTQN5x7DVag","TY.O (International Version)","1","1","244906","spotify:user:tloboy","2019-12-24T20:12:59Z"
"spotify:track:7mitXLIMCflkhZiD34uEQI","Party Rock Anthem","spotify:artist:3sgFRtyBnxXD5ESfmbK4dl, spotify:artist:2jLE4BoXHriQ96JagEtiDP, spotify:artist:53sIBaVjXQhfH89Vu6nEGh","LMFAO, Lauren Bennett, GoonRock","spotify:album:0D49RvtlLCKyxeDKDnBU2R","Sorry For Party Rocking","1","3","262146","spotify:user:tloboy","2019-12-24T20:13:52Z"
"spotify:track:76MdMwQ4yiw1wIbA16sOrA","Apologize","spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ, spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","Timbaland, OneRepublic","spotify:album:2nbVfJlA3nGuaYPuMjq2sv","Shock Value Deluxe Version (International Version)","1","16","184400","spotify:user:tloboy","2019-12-24T20:14:37Z"
"spotify:track:1VQ2FdkDQ6CnoxxIIomVWK","I Like To Move It","spotify:artist:085pc2PYOi8bGKj0PNjekA","will.i.am","spotify:album:6xzALceHwgpeBIy1zSEx9d","Madagascar: Escape 2 Africa - Music From The Motion Picture","1","4","221466","spotify:user:tloboy","2019-12-24T20:15:52Z"
"spotify:track:6zX1edWck5DxIBWQMOUXO5","This Is Love","spotify:artist:085pc2PYOi8bGKj0PNjekA, spotify:artist:2d6W4cnC5XsVOaxtgaj9hA","will.i.am, Eva Simons","spotify:album:6ThvD7x2ULvoqQ3Wycq4uK","This Is Love","1","1","280946","spotify:user:tloboy","2019-12-24T20:16:03Z"
"spotify:track:0M2YkvoDWKgEvLaCmdH3Gv","Baila Morena - New Spanish Version","spotify:artist:2KftmGt9sk1yLjsAoloC3M","Zucchero","spotify:album:7iW0lg3yMzmO47L2yjCBHn","Shake","1","1","246373","spotify:user:tloboy","2019-12-24T20:16:49Z"
"spotify:track:6zQlRd6tvEVJm59P8PMj7o","TiK ToK","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","spotify:album:13WlQvCxVKxRu0CIJmFWa0","Pure... 2000s Party","2","3","199733","spotify:user:tloboy","2019-12-24T20:17:31Z"
"spotify:track:0BJdpD3m8414QOj8iqFYMR","Antes Que Ver El Sol - Con Dani (El Canto Del Loco)","spotify:artist:1OUDQLymoysITxprkd0Qvj","Coti","spotify:album:1msFprmU8cqzLu66TOX4rf","Coti","1","12","221626","spotify:user:tloboy","2019-12-24T20:18:16Z"
"spotify:track:12BbMJsJi65mxneq6c9Lm7","All That She Wants","spotify:artist:5ksRONqssB7BR161NTtJAm","Ace of Base","spotify:album:6cpOIdpPfGaazHsh5eYz0k","Happy Nation","1","2","211213","spotify:user:tloboy","2019-12-24T20:23:28Z"
"spotify:track:5TbzAWWc5eJaANpA9kfGCd","Love Me Again","spotify:artist:34v5MVKeQnIo0CWYMbbrPf","John Newman","spotify:album:2Bgfdyrywv3KEe0WwZdb0V","Tribute","1","2","239894","spotify:user:tloboy","2020-04-04T00:28:33Z"
"spotify:track:78DVpEWwmJFC25KGz8fJuE","Clavado En Un Bar","spotify:artist:7okwEbXzyT2VffBmyQBWLz","Maná","spotify:album:7ydFJUb1tmZPd6p4xIe10V","Sueños Líquidos","1","6","310813","spotify:user:tloboy","2020-06-13T04:40:51Z"
"spotify:track:6q1qACcezH6eH77Xljh5QV","I Need A Dollar","spotify:artist:0id62QV2SZZfvBn9xpmuCl","Aloe Blacc","spotify:album:2LAdkhxTJkCWUE4sPw1zgb","Good Things","1","1","243053","spotify:user:tloboy","2020-10-23T10:49:20Z"
"spotify:track:2KhxzI244SXlRi574NH6Db","I'm Outta Love","spotify:artist:2siHvYaxjaW5rKVRiIrMYH","Anastacia","spotify:album:1hSGNT4i94J3ffsNe44o8O","Ultimate Collection","1","1","243920","spotify:user:tloboy","2020-10-25T16:07:50Z"
