,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
37,37,Look Alive - Remix,"Rae Sremmurd,Migos",Look Alive (Remix),270280,True,48,4.0,0.0,4.0,0.057,0.835,0.584,0.0,0.355,-9.02,0.0655,0.171,119.987,Workout Tracks
38,38,Champions,"Kanye West,Gucci Mane,Big Sean,2 Chainz,Travis Scott,Yo Gotti,Quavo,Desiigner",Champions,334253,True,68,6.0,0.0,4.0,0.0623,0.6920000000000001,0.774,0.0,0.873,-2.48,0.0876,0.349,134.952,Workout Tracks
39,39,Blood On The Leaves,Kanye West,Yeezus,359800,True,65,2.0,0.0,4.0,0.395,0.397,0.69,0.0,0.101,-4.1080000000000005,0.195,0.36,172.07299999999995,Workout Tracks
40,40,California Love - Original Version,"2Pac,Roger,Dr. Dre",The Best of 2Pac,284480,True,65,7.0,1.0,4.0,0.0292,0.7609999999999999,0.847,2.26e-06,0.39,-3.068,0.0417,0.765,91.519,Workout Tracks
41,41,Flashlight - Original Mix,"R3HAB,Deorro",Flashlight,232500,False,0,10.0,1.0,4.0,0.0128,0.705,0.949,0.6,0.27,-3.575,0.0454,0.274,128.011,Workout Tracks
42,42,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,231933,False,73,11.0,0.0,4.0,0.214,0.6679999999999999,0.906,0.00245,0.135,-4.881,0.17,0.507,135.653,Workout Tracks
43,43,Regulate,"Warren G,Nate Dogg",Regulate… G Funk Era,248866,True,73,11.0,0.0,4.0,0.304,0.8490000000000001,0.521,1.65e-06,0.115,-12.999,0.21600000000000005,0.763,95.265,Workout Tracks
44,44,Antidote,Travis Scott,Rodeo (Expanded Edition),262693,True,76,1.0,1.0,4.0,0.0076700000000000015,0.713,0.526,0.000148,0.124,-5.046,0.032,0.131,131.05,Workout Tracks
45,45,Lockjaw (feat. Kodak Black),"French Montana,Kodak Black",Lockjaw (feat. Kodak Black),223146,True,60,5.0,0.0,4.0,0.0411,0.615,0.648,0.0,0.277,-3.792,0.22,0.26,169.912,Workout Tracks
46,46,Feel Invincible,Skillet,Feel Invincible,229861,False,49,8.0,1.0,4.0,0.000523,0.594,0.893,0.0,0.373,-3.792,0.0962,0.417,126.063,Workout Tracks
47,47,F*ckwithmeyouknowigotit,"JAY-Z,Rick Ross",Magna Carta... Holy Grail,243413,True,56,10.0,0.0,4.0,0.0171,0.611,0.464,0.214,0.0794,-8.068,0.294,0.274,127.766,Workout Tracks
48,48,m.A.A.d city,"Kendrick Lamar,MC Eiht","good kid, m.A.A.d city",350120,True,67,2.0,1.0,4.0,0.0538,0.487,0.7290000000000001,4.07e-06,0.44,-6.815,0.271,0.217,91.048,Workout Tracks
49,49,You Be Killin Em,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,209693,True,55,6.0,0.0,4.0,0.444,0.664,0.909,0.0,0.525,-3.552,0.22,0.557,93.977,Workout Tracks
50,50,My Way,Calvin Harris,My Way,219159,False,75,4.0,0.0,4.0,0.0935,0.8190000000000001,0.913,3.72e-05,0.161,-3.059,0.0427,0.536,119.989,Workout Tracks
51,51,Perfect Illusion,Lady Gaga,Perfect Illusion,181506,False,0,1.0,0.0,4.0,0.0016300000000000002,0.615,0.8540000000000001,0.0,0.358,-5.478,0.0388,0.669,124.992,Workout Tracks
52,52,Let Me Love You,"DJ Snake,Justin Bieber",Encore,205946,False,80,8.0,1.0,4.0,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,0.163,99.988,Workout Tracks
53,53,In the Name of Love,"Martin Garrix,Bebe Rexha",In the Name of Love,195706,False,78,4.0,0.0,4.0,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,0.168,133.99,Workout Tracks
54,54,Ain't My Fault,Zara Larsson,Ain't My Fault,224030,False,0,6.0,0.0,4.0,0.00778,0.5760000000000001,0.782,0.0,0.285,-4.825,0.0296,0.355,141.153,Workout Tracks
55,55,Treat You Better,Shawn Mendes,Treat You Better,187973,False,0,10.0,0.0,4.0,0.128,0.448,0.8170000000000001,0.0,0.105,-4.069,0.386,0.7090000000000001,83.015,Workout Tracks
56,56,Let Me Hold You (Turn Me On),"Cheat Codes,Dante Klein",Let Me Hold You (Turn Me On),162425,False,1,1.0,0.0,4.0,0.0992,0.6809999999999999,0.774,0.0,0.35,-3.167,0.0787,0.267,102.924,Workout Tracks
57,57,The Greatest,"Sia,Kendrick Lamar",The Greatest,210893,False,1,1.0,1.0,4.0,0.0109,0.6659999999999999,0.723,0.00047,0.0507,-6.164,0.268,0.7390000000000001,192.024,Workout Tracks
