,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
53,53,Inngangur,Hugar,Hugar,87517,False,41,9.0,0.0,3.0,0.995,0.405,0.00996,0.954,0.0908,-29.706,0.042,0.349,67.82,Sleep Tracks
54,54,Felt,Hugar,Hugar,142207,False,33,0.0,1.0,4.0,0.995,0.5329999999999999,0.007409999999999998,0.95,0.0849,-35.449,0.0498,0.598,99.8,Sleep Tracks
55,55,Ambre,Nils Frahm,Erased Tapes Collection II,227626,False,0,10.0,0.0,3.0,0.992,0.405,0.0572,0.939,0.115,-25.548,0.0334,0.344,145.833,Sleep Tracks
56,56,I Promise,Alex Kozobolis,Alex Kozobolis,265141,False,0,11.0,1.0,4.0,0.972,0.304,0.248,0.65,0.129,-29.531,0.0461,0.125,60.419,Sleep Tracks
57,57,Opus 20,Dustin O'Halloran,Piano Solos Vol. 2,433293,False,48,5.0,0.0,3.0,0.991,0.34,0.0611,0.945,0.0926,-19.64,0.0493,0.0383,69.369,Sleep Tracks
58,58,Chord Left,Agnes Obel,Aventine,149991,False,0,2.0,0.0,4.0,0.995,0.621,0.0866,0.96,0.0984,-20.52,0.0651,0.0369,182.043,Sleep Tracks
59,59,Début,Mélanie Laurent,En t'attendant,160066,False,55,0.0,1.0,4.0,0.99,0.377,0.0239,0.882,0.0998,-30.245,0.0403,0.0629,119.263,Sleep Tracks
60,60,Fin,Mélanie Laurent,En t'attendant,131280,False,46,6.0,1.0,4.0,0.994,0.336,0.0331,0.936,0.0892,-26.416,0.042,0.0599,106.361,Sleep Tracks
61,61,Manga,Shaun Taylor McManus,Ascend,153948,False,41,6.0,1.0,4.0,0.993,0.37,0.16,0.952,0.141,-17.795,0.0464,0.34700000000000003,82.214,Sleep Tracks
62,62,Autumn Moon On A Calm Lake,"Lü Wencheng,Lang Lang",Piano Romance,241840,False,0,1.0,1.0,4.0,0.99,0.205,0.0245,0.9,0.121,-27.353,0.0379,0.0805,65.969,Sleep Tracks
63,63,"Comptine d'un autre été, l'après-midi",Yann Tiersen,Amelie from Montmartre,140733,False,0,2.0,1.0,4.0,0.991,0.484,0.192,0.908,0.106,-15.378,0.0465,0.0559,100.084,Sleep Tracks
64,64,Gizeh,Oskar Schuster,Singur,112059,False,41,2.0,0.0,4.0,0.981,0.532,0.204,0.868,0.118,-19.544,0.0816,0.6940000000000001,141.65200000000004,Sleep Tracks
65,65,Tristane,Oskar Schuster,Singur,134264,False,35,10.0,0.0,4.0,0.984,0.448,0.141,0.659,0.104,-20.929,0.0647,0.198,147.49200000000005,Sleep Tracks
66,66,Grace,Neil Cowley Trio,Grace,217224,False,0,11.0,1.0,3.0,0.994,0.429,0.00967,0.959,0.109,-24.227,0.046,0.139,88.632,Sleep Tracks
67,67,The Approaching Night,Philip Wesley,Dark Night of the Soul,399666,False,56,0.0,1.0,4.0,0.992,0.429,0.0997,0.902,0.115,-23.883000000000006,0.0427,0.0804,93.229,Sleep Tracks
68,68,The Road To You,Stefano Guzzetti,At Home - Piano Book (Volume One),216782,False,35,2.0,0.0,3.0,0.995,0.365,0.375,0.861,0.127,-12.653,0.0483,0.36,120.822,Sleep Tracks
69,69,Delicate Transitions,Gavin Luke,Drifting Among Strangers,148245,False,0,8.0,0.0,5.0,0.964,0.407,0.187,0.925,0.108,-16.436,0.044,0.0705,117.264,Sleep Tracks
70,70,Dilo 7,Emika,Klavirni,131000,False,0,9.0,0.0,4.0,0.996,0.5670000000000001,0.0394,0.877,0.0721,-24.651,0.0529,0.235,112.371,Sleep Tracks
71,71,Together We Will Live Forever,Clint Mansell,The Fountain OST,301733,False,54,7.0,0.0,4.0,0.994,0.483,0.0176,0.928,0.0912,-25.501,0.052000000000000005,0.2,76.384,Sleep Tracks
72,72,River Flows In You - Original,Yiruma,First Love (Yiruma Piano Collection),185527,False,14,9.0,1.0,4.0,0.988,0.31,0.218,0.952,0.085,-21.398000000000003,0.0507,0.0969,145.07399999999996,Sleep Tracks
73,73,Written on the Sky,Max Richter,Disconnect (Original Motion Picture Soundtrack),99866,False,1,10.0,0.0,3.0,0.992,0.373,0.117,0.909,0.111,-25.222,0.0511,0.189,125.288,Sleep Tracks
74,74,"Keyboard Sonata in B Minor, K.197/L.147/P.124: Andante","Domenico Scarlatti,Yevgeny Sudbin","Scarlatti, D.: Keyboard Sonatas",363800,False,33,11.0,0.0,4.0,0.995,0.387,0.0353,0.893,0.0729,-32.142,0.0482,0.15,96.86,Sleep Tracks
75,75,L'un part...L'autre Reste - Version Piano,Frederic Botton,"L'un Reste, L'autre Part",261546,False,0,7.0,1.0,3.0,0.987,0.342,0.0801,0.868,0.123,-20.455,0.0395,0.0999,136.89,Sleep Tracks
76,76,Some,Nils Frahm,Solo,253911,False,0,5.0,1.0,5.0,0.976,0.333,0.00289,0.933,0.0747,-33.467,0.046,0.191,95.641,Sleep Tracks
77,77,Travelling,James Spiteri,A New Beginning,237160,False,51,3.0,0.0,4.0,0.992,0.397,0.0638,0.905,0.115,-19.326,0.0523,0.221,110.328,Sleep Tracks
78,78,The Spin,Greg Haines,Moments Eluding,419120,False,0,0.0,0.0,4.0,0.988,0.343,0.163,0.9,0.0862,-18.536,0.035,0.0436,128.457,Sleep Tracks
79,79,De Novo Adagio (Intro),Alicia Keys,Girl On Fire,79080,False,40,9.0,0.0,1.0,0.966,0.345,0.0443,0.939,0.111,-20.072,0.0433,0.0598,116.09,Sleep Tracks
80,80,Liberations (Scaled Down Version),Johannes Bornlöf,As The Years Go By,142031,False,0,1.0,0.0,3.0,0.994,0.606,0.0949,0.931,0.0898,-21.652,0.0412,0.124,78.027,Sleep Tracks
81,81,Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,1996,286666,False,0,10.0,0.0,4.0,0.952,0.479,0.174,0.841,0.115,-18.021,0.0371,0.29600000000000004,103.577,Sleep Tracks
